Epochs,Batch Size,Resolution,Loss,Accuracy,Val Loss,Val Accuracy,Test Loss,Test Accuracy
8,8,32,3.620267868041992,0.08065573871135712,3.6177146434783936,0.02420634962618351,3.617716073989868,0.02420634962618351
8,8,64,3.623227596282959,0.07715847343206406,3.6098074913024902,0.02420634962618351,3.609802484512329,0.02420634962618351
8,8,128,3.624443769454956,0.08065573871135712,3.596907138824463,0.16746032238006592,3.5969161987304688,0.16746032238006592
8,16,32,1.1198406219482422,0.6813114881515503,0.9629718065261841,0.7313492298126221,0.9629718065261841,0.7313492298126221
8,16,64,3.6233999729156494,0.07868852466344833,3.618194341659546,0.02420634962618351,3.618198871612549,0.02420634962618351
8,16,128,0.6096511483192444,0.8139891028404236,0.517217218875885,0.857539713382721,0.5172172784805298,0.857539713382721
8,32,32,2.0945119857788086,0.4338797926902771,1.8267229795455933,0.5019841194152832,1.8267229795455933,0.5019841194152832
8,32,64,0.6399633288383484,0.8043715953826904,0.5604691505432129,0.8591269850730896,0.5604691505432129,0.8591269850730896
8,32,128,0.5827743411064148,0.8218579292297363,0.5335670113563538,0.8615079522132874,0.5335670113563538,0.8615079522132874
16,8,32,3.613828659057617,0.08043716102838516,3.615642547607422,0.02420634962618351,3.6156413555145264,0.02420634962618351
16,8,64,3.609734058380127,0.08109290152788162,3.6161880493164062,0.02420634962618351,3.616180419921875,0.02420634962618351
16,8,128,3.6107873916625977,0.08153005689382553,3.6191225051879883,0.02420634962618351,3.61912202835083,0.02420634962618351
16,16,32,1.0529558658599854,0.6859016418457031,1.0268281698226929,0.6928571462631226,1.0268279314041138,0.6928571462631226
16,16,64,0.2652377188205719,0.9180328249931335,0.36384615302085876,0.9015873074531555,0.36384618282318115,0.9015873074531555
16,16,128,0.30306485295295715,0.8961749076843262,0.476613849401474,0.8765873312950134,0.47661370038986206,0.8765873312950134
16,32,32,0.786837637424469,0.7597814202308655,0.8008319735527039,0.7551587224006653,0.8008319735527039,0.7551587224006653
16,32,64,0.25701600313186646,0.9156284332275391,0.40251392126083374,0.8904762268066406,0.40251392126083374,0.8904762268066406
16,32,128,0.19402481615543365,0.9361748695373535,0.40738385915756226,0.8928571343421936,0.40738385915756226,0.8928571343421936
32,8,32,0.6626493334770203,0.793224036693573,0.8557655215263367,0.7801587581634521,0.8557661175727844,0.7801587581634521
32,8,64,3.6067183017730713,0.08196721225976944,3.609870672225952,0.02420634962618351,3.6098649501800537,0.02420634962618351
32,8,128,0.1368962973356247,0.9556284546852112,0.4480065405368805,0.9000000357627869,0.4480063319206238,0.9000000357627869
32,16,32,3.6069843769073486,0.08174863457679749,3.6082656383514404,0.02420634962618351,3.6082677841186523,0.02420634962618351
32,16,64,0.450497031211853,0.8614208102226257,0.4914435148239136,0.8753968477249146,0.4914434254169464,0.8753968477249146
32,16,128,0.09013465791940689,0.968961775302887,0.39930832386016846,0.920634925365448,0.39930832386016846,0.920634925365448
32,32,32,0.17061953246593475,0.947322428226471,0.3423621952533722,0.9095238447189331,0.3423621952533722,0.9095238447189331
32,32,64,0.1241244450211525,0.9589071273803711,0.39329081773757935,0.9039682745933533,0.39329081773757935,0.9039682745933533
32,32,128,0.14190158247947693,0.9506011009216309,0.576320469379425,0.8761904835700989,0.576320469379425,0.8761904835700989
